"beta","alpha","lambda","pi","rho","w_l","w_h"
0.92309264447206,0.849360552147324,0.344525824300945,0.601041461971014,0.790611712356395,0.980318667093242,0.801506970330319
0.725063758848863,0.79866195365737,0.0973156591092031,0.451846633508404,0.838564419848899,0.991442904957885,0.900225899989435
1.10027809538621,0.876144588176614,0.449794590863753,1.08175493795891,-0.890525462573506,0.686816105153917,0.477119882953375
1.70425113490819,0.859563154501349,0.264905909309164,0.318111847122527,0.0727034006699224,0.448407996187534,0.36931358883712
0.795659823015174,0.864848297065979,0.519359285781795,0.853234360816536,-0.0845232645433373,0.999065609213983,0.621650819064117
1.0477009344786,0.935515957941946,0.670588894389832,1.12225881946838,1.06239875987221,0.999999986117171,0.421737465743728
0.752252845280814,0.821654285002005,0.772151707934734,0.877219942988928,0.728620710157251,0.948733766903849,0.669052861008702
0.905623820291657,0.884302563691154,0.432497630128637,0.0432026276771764,0.395221912294592,0.978906662662617,0.562495891326212
0.759202682412415,0.804275229888066,0.707213750807568,0.186573975039728,0.281876780650628,0.968246867705233,0.945977821120392
1.25423465010551,0.843258118888242,0.339167963247746,0.0364957168518127,0.493816925678402,0.611124074740237,0.463899878319353
0.687045852197924,0.820950003096536,0.00799282762215427,2.00440208061901,0.636512259455288,0.971213201637611,0.674417302121487
0.802541052166241,0.802229310851168,0.273952504387125,0.870455349228455,0.421330264769495,0.895533958146713,0.762123157188183
0.510530331347624,0.791057228851538,0.350881266755756,0.897680222783743,0.728826600158369,0.947035192047792,0.760309757809705
0.7606465520274,0.801250944640615,0.00200792293319114,3.62685760397848,6.20522787868202,0.741200815385668,0.573627064467829
1.01363383343988,0.811338166237721,0.0961845782585442,0.367228507486219,0.987984579202835,0.707030949941619,0.709409073869043
0.892066037424311,0.827147552619791,0.122797911521047,0.674781429674911,2.33678752845884,0.809984312482116,0.67394875864889
1.11090308175878,0.846616185185457,0.342484396649525,0.80770258159164,0.440638311053452,0.656395066473757,0.525355928650691
0.796656482178617,0.80073575756007,0.0286538347136229,0.576672481259625,0.0748754414409505,0.908473686922612,0.902729229595556
1.13551336964724,0.863274164714904,0.352113266557944,0.138437580472225,0.564885985136391,0.698338116614746,0.450499865310885
0.944057865068316,0.865608366206288,0.530574222560972,0.87107402831316,0.190614045364782,0.90592806157656,0.641939164837822
1.2991348293333,0.822638955111539,0.0997349710669369,0.649770583122813,0.581409264355898,0.543667452581702,0.531451985472813
0.959191238369582,0.857323038607235,0.457957978593186,0.300778667087763,0.167143324157223,0.837465565598842,0.614755985598256
0.7242818122432,0.832769357413336,0.980375610032941,0.938712176720943,0.474158481462909,0.999834149091619,0.923639512936668
1.00807828794143,0.88959459117775,0.916065868455917,0.476049636200171,0.482153920654451,0.866280752830891,0.611833505428152
0.758036260933795,0.845206412779885,0.0111892721557537,0.285639991822671,0.371951934037639,0.999844757469651,0.927788870692431
0.716851765294643,0.813985188141604,0.0353676341453743,0.809007367089765,1.58480756481647,0.992422734528148,0.89946850605398
0.946569655377442,0.837440672392018,0.106183935655281,0.950848310574598,1.79960297152798,0.761921311922397,0.688887704120791
