day,subject,trial,s2,c1,c2,r,stim1_l,stim1_r,stim2_l,stim2_r,stake
1,mj1berj703,42.0,1,1,1,1.0,1,2,1,2,5
1,mj1berj703,43.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,43.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,44.0,2,2,1,5.0,2,1,2,1,5
1,mj1berj703,44.0,1,2,1,0.0,1,2,2,1,1
1,mj1berj703,45.0,2,2,2,5.0,1,2,2,1,5
1,mj1berj703,45.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,46.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,46.0,2,1,1,5.0,1,2,2,1,5
1,mj1berj703,47.0,2,2,1,0.0,2,1,2,1,1
1,mj1berj703,47.0,1,1,2,5.0,2,1,2,1,5
1,mj1berj703,48.0,1,1,1,0.0,1,2,1,2,1
1,mj1berj703,48.0,1,2,2,1.0,2,1,1,2,5
1,mj1berj703,49.0,1,1,2,5.0,1,2,2,1,5
1,mj1berj703,49.0,1,2,2,0.0,2,1,1,2,1
1,mj1berj703,50.0,1,2,2,5.0,1,2,2,1,5
1,mj1berj703,50.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,51.0,1,2,1,0.0,1,2,1,2,5
1,mj1berj703,51.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,52.0,1,2,2,0.0,2,1,2,1,1
1,mj1berj703,52.0,2,1,2,0.0,1,2,1,2,5
1,mj1berj703,53.0,2,2,2,0.0,1,2,1,2,5
1,mj1berj703,53.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,54.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,54.0,2,2,2,5.0,2,1,2,1,5
1,mj1berj703,55.0,2,2,2,0.0,2,1,1,2,5
1,mj1berj703,55.0,2,2,1,0.0,1,2,1,2,1
1,mj1berj703,56.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,56.0,1,1,1,1.0,1,2,1,2,5
1,mj1berj703,57.0,2,2,1,0.0,2,1,2,1,1
1,mj1berj703,57.0,2,2,2,0.0,2,1,2,1,5
1,mj1berj703,58.0,1,1,1,0.0,1,2,2,1,5
1,mj1berj703,58.0,2,2,1,0.0,1,2,1,2,1
1,mj1berj703,59.0,1,1,1,0.0,1,2,2,1,5
1,mj1berj703,59.0,2,2,1,0.0,1,2,2,1,1
1,mj1berj703,60.0,2,2,1,1.0,2,1,1,2,1
1,mj1berj703,60.0,1,2,1,5.0,2,1,2,1,5
1,mj1berj703,61.0,1,2,2,0.0,2,1,2,1,1
1,mj1berj703,61.0,1,1,2,0.0,2,1,2,1,5
1,mj1berj703,62.0,2,2,1,1.0,1,2,1,2,1
1,mj1berj703,62.0,2,2,1,1.0,2,1,1,2,5
1,mj1berj703,63.0,2,1,2,0.0,2,1,1,2,5
1,mj1berj703,63.0,1,2,2,0.0,1,2,2,1,1
1,mj1berj703,64.0,1,1,1,0.0,1,2,1,2,5
1,mj1berj703,64.0,2,2,1,5.0,1,2,2,1,1
1,mj1berj703,65.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,65.0,1,2,1,0.0,2,1,1,2,5
1,mj1berj703,66.0,1,1,2,0.0,1,2,2,1,5
1,mj1berj703,66.0,2,2,1,5.0,2,1,2,1,1
1,mj1berj703,67.0,1,2,2,0.0,1,2,2,1,1
