day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,21v1or0p00,41.0,1,1.0,1,0.0,2,1,1,0
1,21v1or0p00,42.0,4,3.0,3,1.2,4,3,5,0
1,21v1or0p00,42.0,1,2.0,2,15.0,1,2,1,1
1,21v1or0p00,43.0,3,3.0,1,2.4,1,2,5,1
1,21v1or0p00,43.0,1,1.0,1,0.0,1,2,1,1
1,21v1or0p00,44.0,3,3.0,1,3.0,1,2,5,1
1,21v1or0p00,44.0,1,2.0,2,12.0,2,1,1,0
1,21v1or0p00,45.0,2,2.0,4,15.0,3,4,1,1
1,21v1or0p00,45.0,4,4.0,4,1.8,3,4,5,1
1,21v1or0p00,46.0,2,1.0,3,18.0,4,3,1,0
1,21v1or0p00,46.0,3,3.0,1,3.6,2,1,5,0
1,21v1or0p00,47.0,2,2.0,4,12.0,3,4,1,1
1,21v1or0p00,47.0,3,3.0,1,3.6,2,1,5,0
1,21v1or0p00,48.0,1,2.0,2,21.0,1,2,1,1
1,21v1or0p00,48.0,3,3.0,1,4.8,2,1,5,0
1,21v1or0p00,49.0,3,3.0,1,4.8,2,1,5,0
1,21v1or0p00,49.0,2,1.0,3,12.0,4,3,1,0
1,21v1or0p00,50.0,3,3.0,1,4.2,2,1,5,0
1,21v1or0p00,50.0,1,1.0,1,9.0,2,1,1,0
1,21v1or0p00,51.0,4,3.0,3,3.0,4,3,5,0
1,21v1or0p00,51.0,1,1.0,1,3.0,2,1,1,0
1,21v1or0p00,52.0,3,4.0,2,0.0,1,2,5,1
1,21v1or0p00,52.0,2,1.0,3,3.0,4,3,1,0
1,21v1or0p00,53.0,1,2.0,2,6.0,1,2,1,1
1,21v1or0p00,53.0,3,3.0,1,3.6,1,2,5,1
1,21v1or0p00,54.0,1,2.0,2,0.0,2,1,1,0
1,21v1or0p00,54.0,3,4.0,2,0.0,2,1,5,0
1,21v1or0p00,55.0,1,2.0,2,0.0,1,2,1,1
1,21v1or0p00,55.0,4,4.0,4,3.0,3,4,5,1
1,21v1or0p00,56.0,3,3.0,1,1.8,2,1,5,0
1,21v1or0p00,56.0,2,2.0,4,9.0,3,4,1,1
1,21v1or0p00,57.0,4,3.0,3,2.4,4,3,5,0
1,21v1or0p00,57.0,2,1.0,3,0.0,4,3,1,0
1,21v1or0p00,58.0,2,2.0,4,12.0,3,4,1,1
1,21v1or0p00,58.0,3,3.0,1,3.0,2,1,5,0
1,21v1or0p00,59.0,4,3.0,3,3.0,4,3,5,0
