day,subject,trial,s1,s2,c,r,stim_l,stim_m,stim_r,stake
2,k4r1m3br02,41.0,2,1.0,3,6.0,4,,3,1
2,k4r1m3br02,41.0,3,3.0,1,7.0,1,3,2,5
2,k4r1m3br02,42.0,3,3.0,1,8.0,1,2,3,5
2,k4r1m3br02,42.0,1,1.0,1,7.0,2,,1,1
2,k4r1m3br02,43.0,3,5.0,3,5.0,3,2,1,5
2,k4r1m3br02,43.0,1,1.0,1,7.0,1,,2,1
2,k4r1m3br02,44.0,4,3.0,4,5.0,4,5,6,5
2,k4r1m3br02,44.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,45.0,1,1.0,1,6.0,1,,2,1
2,k4r1m3br02,45.0,3,5.0,3,8.0,3,1,2,5
2,k4r1m3br02,46.0,3,4.0,2,0.0,2,3,1,5
2,k4r1m3br02,46.0,2,1.0,3,7.0,4,,3,1
2,k4r1m3br02,47.0,2,1.0,3,5.0,3,,4,1
2,k4r1m3br02,47.0,3,4.0,2,0.0,2,3,1,5
2,k4r1m3br02,48.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,48.0,4,5.0,6,9.0,4,5,6,5
2,k4r1m3br02,49.0,3,5.0,3,7.0,1,2,3,5
2,k4r1m3br02,49.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,50.0,3,3.0,1,5.0,3,2,1,5
2,k4r1m3br02,50.0,2,2.0,4,0.0,3,,4,1
2,k4r1m3br02,51.0,3,4.0,2,9.0,2,3,1,5
2,k4r1m3br02,51.0,2,1.0,3,5.0,3,,4,1
2,k4r1m3br02,52.0,4,3.0,4,5.0,4,5,6,5
2,k4r1m3br02,52.0,1,2.0,2,5.0,2,,1,1
2,k4r1m3br02,53.0,4,3.0,4,6.0,4,5,6,5
2,k4r1m3br02,53.0,1,1.0,1,4.0,1,,2,1
2,k4r1m3br02,54.0,4,3.0,4,3.0,6,4,5,5
2,k4r1m3br02,54.0,2,2.0,4,3.0,3,,4,1
2,k4r1m3br02,55.0,1,2.0,2,8.0,2,,1,1
