day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
2,p42os70t01,1.0,3,3.0,1,4.0,2,1,5,0
2,p42os70t01,1.0,1,1.0,1,0.0,1,2,1,1
2,p42os70t01,2.0,2,1.0,3,0.0,3,4,1,1
2,p42os70t01,2.0,4,4.0,4,2.0,3,4,5,1
2,p42os70t01,3.0,1,1.0,1,0.0,2,1,1,0
2,p42os70t01,3.0,3,4.0,2,3.0,2,1,5,0
2,p42os70t01,4.0,2,2.0,4,3.0,4,3,1,0
2,p42os70t01,4.0,4,4.0,4,6.0,4,3,5,0
2,p42os70t01,5.0,4,4.0,4,6.0,4,3,5,0
2,p42os70t01,5.0,1,2.0,2,6.0,2,1,1,0
2,p42os70t01,6.0,4,4.0,4,6.0,3,4,5,1
2,p42os70t01,6.0,1,2.0,2,6.0,2,1,1,0
2,p42os70t01,7.0,3,4.0,2,5.0,1,2,5,1
2,p42os70t01,7.0,1,2.0,2,5.0,2,1,1,0
2,p42os70t01,8.0,2,2.0,4,6.0,3,4,1,1
2,p42os70t01,8.0,4,4.0,4,7.0,3,4,5,1
2,p42os70t01,9.0,2,2.0,4,8.0,4,3,1,0
2,p42os70t01,9.0,4,4.0,4,7.0,4,3,5,0
2,p42os70t01,10.0,4,4.0,4,4.0,3,4,5,1
2,p42os70t01,10.0,1,2.0,2,6.0,1,2,1,1
2,p42os70t01,11.0,1,2.0,2,5.0,1,2,1,1
2,p42os70t01,11.0,3,4.0,2,5.0,2,1,5,0
2,p42os70t01,12.0,3,4.0,2,6.0,1,2,5,1
2,p42os70t01,12.0,2,2.0,4,3.0,4,3,1,0
2,p42os70t01,13.0,2,2.0,4,4.0,4,3,1,0
2,p42os70t01,13.0,4,4.0,4,7.0,3,4,5,1
2,p42os70t01,14.0,1,2.0,2,6.0,1,2,1,1
2,p42os70t01,14.0,3,4.0,2,5.0,2,1,5,0
2,p42os70t01,15.0,3,4.0,2,5.0,2,1,5,0
2,p42os70t01,15.0,2,2.0,4,5.0,3,4,1,1
