"t","s1","s2","c","r","rep1","rep2","resp1","resp2","stake","s1L"
106,1,4,2,25,1,0,1,0,5,0
107,1,4,2,25,0,0,0,1,5,1
108,2,3,1,30,0,1,0,0,5,0
109,2,3,1,35,0,0,0,0,5,1
110,1,4,2,0,1,0,0,0,5,0
111,2,4,2,0,0,0,0,0,5,0
112,2,3,1,5,0,1,0,1,1,1
113,2,3,1,15,0,0,0,0,5,1
114,2,4,2,20,1,0,1,0,5,1
115,2,4,2,8,0,0,0,1,1,0
116,2,3,1,3,0,1,0,0,1,1
117,1,3,1,3,0,0,0,0,1,0
118,1,4,2,7,1,0,0,0,1,0
119,1,4,2,45,0,0,0,1,5,1
120,2,3,1,20,0,1,0,0,5,0
121,1,3,1,10,0,0,0,0,5,0
122,1,4,2,8,1,0,1,0,1,1
123,1,4,2,35,0,0,0,0,5,0
124,2,3,1,0,0,1,0,0,5,1
125,1,3,1,10,0,0,0,0,5,1
126,1,4,2,9,1,0,1,0,1,0
127,1,4,2,45,0,0,0,0,5,1
128,1,3,1,0,0,1,0,0,5,0
129,2,3,1,0,0,0,0,0,1,0
130,1,4,2,9,1,0,1,0,1,1
131,2,4,2,45,0,0,0,0,5,0
132,2,3,1,40,0,1,0,0,5,1
133,2,3,1,35,0,0,0,0,5,1
134,2,4,2,8,1,0,1,0,1,0
135,1,4,2,40,0,0,0,0,5,1
136,2,3,1,9,0,1,0,0,1,0
137,2,3,1,40,0,0,0,0,5,0
138,1,4,2,9,1,0,1,0,1,0
139,2,4,2,45,0,0,0,1,5,0
140,1,3,1,3,0,1,0,1,1,1
141,1,3,1,25,0,0,0,0,5,1
142,1,4,2,45,1,0,1,0,5,0
143,1,4,2,45,0,0,0,0,5,0
144,1,3,1,35,0,1,0,1,5,1
145,1,3,1,7,0,0,0,0,1,0
146,2,4,2,9,1,0,0,0,1,0
147,1,4,2,40,0,0,0,1,5,1
148,1,3,1,45,0,1,0,0,5,1
149,2,3,1,45,0,0,1,0,5,1
150,1,4,2,45,1,0,1,0,5,1
151,2,4,2,9,0,0,0,1,1,0
152,1,3,1,45,0,1,0,0,5,0
153,2,3,1,9,0,0,1,0,1,0
154,2,4,2,9,1,0,1,0,1,1
155,2,4,2,8,0,0,0,0,1,0
156,2,3,1,8,0,1,0,0,1,1
157,1,3,1,45,0,0,0,0,5,1
158,2,4,2,25,1,0,1,0,5,0
159,1,4,2,7,0,0,0,0,1,1
160,2,3,1,7,0,1,0,0,1,0
161,2,3,1,7,0,0,0,0,1,1
162,1,4,2,1,1,0,0,0,1,0
163,1,4,2,15,0,0,0,0,5,0
164,1,3,1,7,0,1,0,1,1,1
165,1,3,1,40,0,0,0,0,5,1
166,2,4,2,2,1,0,1,0,1,0
167,2,4,2,4,0,0,0,0,1,1
168,2,3,1,7,0,1,0,0,1,0
169,2,3,1,25,0,0,0,0,5,1
170,1,4,2,25,1,0,0,0,5,0
171,2,4,2,6,0,0,0,0,1,1
172,2,3,1,9,0,1,0,0,1,0
173,1,3,1,9,0,0,0,0,1,1
174,1,4,2,0,1,0,0,0,1,1
175,2,4,2,0,0,0,0,1,1,0
176,1,3,1,8,0,1,0,0,1,1
177,2,3,1,8,0,0,0,0,1,0
178,1,4,2,5,1,0,0,0,5,1
179,2,4,2,5,0,0,0,0,5,0
180,2,3,1,20,0,1,0,0,5,1
181,2,3,1,4,0,0,0,0,1,0
182,2,4,2,0,1,0,0,0,1,1
183,1,4,2,0,0,0,0,0,5,0
184,2,3,1,35,0,1,0,0,5,1
185,2,3,1,40,0,0,0,0,5,0
186,1,4,2,2,1,0,0,0,1,1
187,2,4,2,2,0,0,0,0,1,1
188,2,3,1,45,0,1,0,1,5,1
189,1,3,1,7,0,0,1,0,1,0
190,2,4,2,10,1,0,0,0,5,0
191,1,4,2,5,0,0,0,1,1,1
192,2,3,1,35,0,1,0,0,5,1
193,1,3,1,7,0,0,1,0,1,1
194,2,4,2,25,1,0,1,0,5,1
195,2,4,2,4,0,0,0,1,1,0
196,2,3,1,6,0,1,0,0,1,0
197,1,3,1,6,0,0,1,0,1,0
198,1,4,2,1,1,0,1,0,1,0
199,2,4,2,0,0,0,0,1,5,0
200,2,3,1,8,0,1,0,1,1,1
