"t","s1","s2","c","r","rep1","rep2","resp1","resp2","stake","s1L"
1,1,4,2,0,0,0,0,0,1,1
2,2,4,2,5,0,0,0,0,5,1
3,1,4,2,10,0,1,0,1,5,1
4,1,4,2,5,0,1,0,1,5,0
5,2,3,1,8,0,1,0,0,1,1
6,2,3,1,45,0,0,0,0,5,0
7,2,3,1,45,1,0,0,0,5,1
8,1,3,1,45,1,0,0,0,5,0
9,2,3,1,9,1,0,0,0,1,1
10,1,4,2,4,1,0,0,0,1,0
11,2,4,2,2,0,0,0,0,1,0
12,2,4,2,5,0,1,0,1,5,1
13,2,4,2,10,0,1,0,0,5,0
14,2,3,1,3,0,1,0,0,1,0
15,1,3,1,10,0,0,1,0,5,0
16,1,4,2,0,1,0,1,0,5,0
17,2,4,2,0,0,0,0,1,5,1
18,1,3,1,20,0,1,0,0,5,1
19,1,3,1,7,0,0,1,0,1,0
20,1,3,1,30,1,0,0,0,5,1
21,1,3,1,25,1,0,0,0,5,0
22,1,4,2,0,1,0,0,0,5,1
23,2,4,2,0,0,0,0,0,1,0
24,2,3,1,3,0,1,0,0,1,0
25,1,3,1,2,0,0,1,0,1,1
26,1,4,2,0,1,0,0,0,1,1
27,1,4,2,10,0,0,0,1,5,0
28,1,3,1,30,0,1,0,0,5,1
29,1,3,1,30,0,0,0,0,5,0
30,1,4,2,5,1,0,0,0,1,1
31,2,4,2,2,0,0,0,0,1,1
32,1,3,1,20,0,1,0,1,5,0
33,2,3,1,0,0,0,0,0,5,1
34,2,4,2,5,1,0,0,0,1,0
35,1,4,2,5,0,0,0,0,1,0
36,2,3,1,5,0,1,0,1,5,0
37,2,3,1,0,0,0,1,0,5,0
38,2,4,2,0,1,0,1,0,1,1
39,1,4,2,1,0,0,0,0,1,0
40,2,3,1,35,0,1,0,0,5,1
41,1,3,1,30,0,0,0,0,5,1
42,1,4,2,6,1,0,1,0,1,0
43,1,4,2,2,0,0,0,0,1,0
44,2,3,1,35,0,1,0,1,5,1
45,2,3,1,8,0,0,0,0,1,0
46,2,4,2,0,1,0,0,0,1,1
47,2,4,2,0,0,0,0,0,1,0
48,1,3,1,6,0,1,0,0,1,1
49,1,3,1,35,0,0,0,0,5,1
50,2,4,2,2,1,0,1,0,1,1
51,2,4,2,20,0,0,0,1,5,0
52,2,3,1,9,0,1,0,0,1,1
53,2,3,1,8,0,0,0,0,1,0
54,2,4,2,4,1,0,0,0,1,0
55,2,4,2,6,0,0,0,1,1,0
56,1,3,1,9,0,1,0,1,1,1
57,1,3,1,45,0,0,0,0,5,0
58,2,4,2,3,1,0,0,0,1,0
59,2,4,2,1,0,0,0,1,1,0
60,2,3,1,9,0,1,0,1,1,0
61,1,3,1,9,0,0,1,0,1,1
62,2,4,2,5,1,0,0,0,1,0
63,1,4,2,20,0,0,0,0,5,1
64,1,3,1,40,0,1,0,0,5,1
65,1,3,1,45,0,0,1,0,5,1
66,2,4,2,15,1,0,1,0,5,1
67,1,4,2,6,0,0,0,1,1,0
68,1,3,1,30,0,1,0,0,5,0
69,2,3,1,8,0,0,1,0,1,1
70,1,4,2,20,1,0,0,0,5,0
71,2,4,2,5,0,0,0,0,1,0
72,2,3,1,4,0,1,0,1,1,1
73,1,3,1,20,0,0,0,0,5,0
74,2,4,2,7,1,0,0,0,1,1
75,1,4,2,4,0,0,0,0,1,1
76,2,3,1,3,0,1,0,1,1,1
77,2,3,1,15,0,0,1,0,5,0
78,1,4,2,20,1,0,0,0,5,1
79,1,4,2,10,0,0,0,0,5,0
80,1,3,1,6,0,1,0,0,1,1
81,1,3,1,45,0,0,0,0,5,1
82,1,4,2,1,1,0,1,0,1,0
83,1,4,2,0,0,0,0,0,1,0
84,1,3,1,7,0,1,0,1,1,1
85,2,3,1,35,0,0,0,0,5,1
86,2,4,2,0,1,0,1,0,5,1
87,2,4,2,0,0,0,0,1,1,1
88,1,3,1,7,0,1,0,1,1,1
89,1,3,1,7,0,0,1,0,1,1
90,2,4,2,0,1,0,1,0,5,0
91,1,4,2,2,0,0,0,0,1,1
92,1,3,1,20,0,1,0,0,5,1
93,2,3,1,5,0,0,1,0,1,0
94,2,4,2,1,1,0,0,0,1,1
95,1,4,2,0,0,0,0,0,1,0
96,2,3,1,20,0,1,0,0,5,0
97,2,3,1,3,0,0,1,0,1,0
98,1,4,2,3,1,0,1,0,1,1
99,1,4,2,6,0,0,0,0,1,0
100,2,3,1,20,0,1,0,0,5,1
101,2,3,1,5,0,0,0,0,1,0
102,2,4,2,45,1,0,0,0,5,1
103,2,4,2,8,0,0,0,0,1,1
104,1,3,1,15,0,1,0,1,5,0
105,2,3,1,30,0,0,0,0,5,0
