"t","s1","s2","c","r","rep1","rep2","resp1","resp2","stake","s1L"
144,1,3,1,7,0,1,0,1,1,1
145,2,3,1,35,0,0,0,0,5,0
146,2,4,2,9,1,0,0,0,1,1
147,1,4,2,8,0,0,0,0,1,1
148,2,3,1,9,0,1,0,1,1,1
149,1,3,1,45,0,0,1,0,5,1
150,2,4,2,45,1,0,1,0,5,0
151,2,4,2,9,0,0,0,0,1,0
152,2,3,1,45,0,1,0,1,5,0
153,2,3,1,9,0,0,1,0,1,1
154,2,4,2,45,1,0,0,0,5,1
155,2,4,2,40,0,0,0,1,5,0
156,1,3,1,40,0,1,0,0,5,1
157,1,3,1,45,0,0,0,0,5,1
158,1,4,2,5,1,0,1,0,1,0
159,2,4,2,7,0,0,0,0,1,1
160,2,3,1,7,0,1,0,0,1,0
161,1,3,1,35,0,0,0,0,5,1
162,1,4,2,1,1,0,0,0,1,0
163,1,4,2,3,0,0,0,0,1,0
164,1,3,1,7,0,1,0,1,1,1
165,2,3,1,40,0,0,0,0,5,1
166,2,4,2,10,1,0,1,0,5,1
167,2,4,2,20,0,0,0,1,5,0
168,1,3,1,35,0,1,0,0,5,0
169,2,3,1,25,0,0,1,0,5,0
170,2,4,2,25,1,0,1,0,5,0
171,2,4,2,30,0,0,0,1,5,1
172,2,3,1,45,0,1,0,0,5,1
173,2,3,1,45,0,0,1,0,5,0
174,2,4,2,0,1,0,0,0,1,0
175,2,4,2,0,0,0,0,1,1,1
176,1,3,1,40,0,1,0,0,5,0
177,1,3,1,40,0,0,0,0,5,1
178,2,4,2,5,1,0,0,0,5,1
179,1,4,2,5,0,0,0,1,5,0
180,1,3,1,4,0,1,0,0,1,0
181,2,3,1,20,0,0,1,0,5,0
182,1,4,2,0,1,0,1,0,1,0
183,2,4,2,0,0,0,0,1,1,0
184,1,3,1,35,0,1,0,1,5,0
185,2,3,1,40,0,0,1,0,5,0
186,1,4,2,2,1,0,1,0,1,0
187,2,4,2,10,0,0,0,1,5,0
